pfr_player_id,pfr_player_name,player_id,pick,round,season,pass_attempt_difference,starting_team,is_on_new_team,total_pts,total_games,total_targets,total_wopr,total_rec,total_epa,total_air_yards,pro_fr_id,estimated_pfr_id,new_pfr_id,display_name,fixed_pfr_id,season_snaps,avg_snap_rate,snap_games_played,pts_per_snap,targets_per_snap,wopr_per_snap,catch_rate,points_per_game,targets_per_game,wopr_per_game,epa_per_game,air_yards_per_game,points_pg_ly,targets_ly,targets_pg_ly,total_games_ly,points_2y,targets_2y,targets_pg_2y,total_games_2y,points_3y,targets_3y,targets_pg_3y,total_games_3y,epa_pg_ly,wopr_pg_ly,air_yards_pg_ly,wopr_pg_2y,wopr_pg_3y,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,catch_rate_ly,total_pts_ly,years_pro,position,total_positional_investment,targets_added_this_year,fp_added_this_year,target_dropoff,fp_dropoff,combine_cluster,pfr_id,starter_qbr_ly,qbr_ly_bin,starter_epa_persnap_passing_ly,starter_epa_passing_ly,total_passing_tds_ly,total_passing_yds_ly,total_passing_fp_ly,coach,games_this_year,total_games_coached,is_returning_coach,hc_years_with_team
TelfRa00,Randall Telfer,00-0031533,198,6,2016,0,CLE,no,2.5500000000000003,5,7.4375,0.344927117013618,2.125,-4.745511233282741,43,0,TelfRa00,TelfRa00,0,0,236.9375,64.22094867828767,14.875,0.007430340557275543,0.021671826625386997,0.0010050689987648675,0.11764705882352941,0.17142857142857146,0.5,0.023188377614360874,-0.33896508809162434,3.0714285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0.17,0,0,331.5,460.1687500000002,no_combine_cluster,NA,NA,other,0,0,21.25,4415.75,261.63,Hue Jackson,16,40,0,1
TelfRa00,Randall Telfer,00-0031533,198,6,2017,0,CLE,no,7.0125,3,4.25,0.2619530540059408,3.1875,1.2207635504892096,38,0,TelfRa00,TelfRa00,0,0,317.6875,66.78991239966463,17,0.01654135338345865,0.010025062656641603,6.17904889296042e-4,0.21428571428571427,0.41250000000000003,0.25,0.01540900317682005,0.0762977219055756,2.375,0.17142857142857146,7.4375,0.5,14.875,0,0,0,0,0,0,0,0,-0.33896508809162434,0.023188377614360874,3.0714285714285716,0,0,0.007430340557275543,0.021671826625386997,0.0010050689987648675,236.9375,0.11764705882352941,2.5500000000000003,1,TE,0.69,183.8125,303.6625,297.5,464.35499999999996,no_combine_cluster,NA,NA,no_history,0,0,15.9375,3923.8125,220.7025,Hue Jackson,16,40,1,2
LewiDe02,Dezmin Lewis,00-0032070,234,7,2016,0,BUF,no,0,1,1.0625,0.07017803356282273,0,-0.06391341297421604,11,0,LewiDe00,LewiDe02,Dezmin Lewis,LewiDe02,14.875,73.6842105263158,1.0625,0,0.008771929824561403,5.793852100129843e-4,0,0,1,0.066049913941480215,-0.06391341297421604,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.08,36.125,72.56875000000001,89.25,144.13874999999985,no_combine_cluster,NA,66.3,6,0.05714285714285714,32.725,24.4375,3825,250.75,Rex Ryan,15,31,1,2
ChriGe00,Gerald Christian,00-0032190,256,7,2016,0,BUF,no,2.5500000000000003,1,2.125,0.14035606712564547,1.0625,0.7884411015547812,22,0,ChriGe00,ChriGe00,0,0,19.125,65.18518518518519,3.1875,0.02033898305084746,0.01694915254237288,0.0011194900668047493,0.08333333333333333,0.8000000000000002,0.6666666666666666,0.04403327596098681,0.2628137005182604,7.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TE,0,36.125,72.56875000000001,89.25,144.13874999999985,no_combine_cluster,NA,66.3,6,0.05714285714285714,32.725,24.4375,3825,250.75,Rex Ryan,15,31,1,2
AyerDe00,Demarcus Ayers,00-0032365,229,7,2016,0,PIT,no,17.10625,2,13.8125,0.8224759877355643,6.375,3.8232747125439346,132,0,AyerDe00,AyerDe00,0,0,87.125,64.0552995391705,2.125,0.08846153846153845,0.07142857142857142,0.004253269490552369,0.2608695652173913,8.049999999999999,6.5,0.38704752364026557,1.9116373562719673,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,69.0625,114.43125,188.0625,322.4687499999999,no_combine_cluster,NA,72.8,8,0.11,64.28125,28.6875,5738.5625,344.29249999999996,Mike Tomlin,16,266,1,10
MitcMa01,Malcolm Mitchell,00-0032400,112,4,2016,0,NE,no,102.10625000000002,12,51,3.498432417923935,34,23.967641862621015,498,0,MitchMa01,MitcMa01,Malcolm Mitchell,MitcMa01,571.625,70.20646820296163,14.875,0.15062695924764893,0.07523510971786834,0.005160881309863817,0.5517241379310345,6.864285714285716,3.4285714285714284,0.23518873397807966,1.7119744187586439,35.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.06,147.6875,221.48875,195.5,278.1625000000001,no_combine_cluster,NA,NA,other,0,0,41.4375,5763,396.27000000000004,Bill Belichick,16,379,1,17
BravDa00,Daniel Braverman,00-0032801,230,7,2016,0,CHI,no,0,2,2.125,0.11939846206193074,0,-5.79052251833491,22,0,BravDa00,BravDa00,0,0,18.0625,55.18518518518518,3.1875,0,0.017094017094017096,9.604702830522332e-4,0,0,0.6666666666666666,0.03745834103903709,-1.9301741727783035,7.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0,11.6875,13.174999999999999,130.6875,186.8937500000001,no_combine_cluster,NA,NA,other,0,0,22.3125,4083.1875,252.5775,John Fox,16,48,1,2
PaytJo00,Jordan Payton,00-0032974,154,5,2016,0,CLE,no,1.38125,2,3.1875,0.1744076965055318,1.0625,-0.8494233416276984,37,0,PaytJo00,PaytJo00,0,0,34,69.66991341991343,4.25,0.00984848484848485,0.022727272727272728,0.00124354863818561,0.07692307692307693,0.325,0.75,0.04103710506012513,-0.2123558354069246,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,1.15,0,0,331.5,460.1687500000002,no_combine_cluster,NA,NA,other,0,0,21.25,4415.75,261.63,Hue Jackson,16,40,0,1
CampJa03,Jalen Camp,00-0036858,209,6,2022,0,HOU,no,1.7000000000000002,1,1,0.10263876251137397,1,0.5108519167988561,7,CampJa03,0,CampJa03,0,0,21,63.333333333333336,2,0.014049586776859505,0.008264462809917356,8.482542356311898e-4,0.09090909090909091,0.8500000000000001,0.5,0.05131938125568698,0.25542595839942805,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.56,26,37.1,46,87.20000000000016,no_combine_cluster,NA,41.2,1,0.049893842887473464,23.5,21,3630,229.2,Lovie Smith,17,17,0,1
SkowBe00,Ben Skowronek,00-0036862,249,7,2021,0,LA,no,24.3,7,20,1.3960255633675815,11,1.4085599618961409,210,SkowBe00,0,SkowBe00,0,0,178,63.20212201191098,12,0.08741007194244604,0.07194244604316546,0.005021674688372595,0.36666666666666664,2.025,1.6666666666666667,0.11633546361396513,0.11737999682467841,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WR,0.64,46.75,79.05000000000001,151.9375,232.89999999999992,no_combine_cluster,NA,61.3,5,0.10335463258785943,68.74375,23.375,4824.8125,286.4925,Sean McVay,17,107,1,5
