round,points_per_game,points_pg_ly,targets_pg_ly,wopr_pg_ly,pick,air_yards_pg_ly,total_games_ly,pass_attempt_difference,total_positional_investment,target_dropoff,epa_pg_ly,years_pro,targets_added_this_year,is_on_new_team,points_per_snap_ly,targets_per_snap_ly,wopr_per_snap_ly,total_snaps_ly,total_passing_tds_ly,total_passing_yds_ly,total_passing_fp_ly,is_returning_coach,hc_years_with_team,catch_rate_ly,position,fp_dropoff,starter_epa_passing_ly,starter_epa_persnap_passing_ly,combine_cluster,qbr_ly_bin,points_2y,total_games_2y,points_3y,total_games_3y,targets_pg_2y,targets_pg_3y,wopr_pg_2y,wopr_pg_3y,player_id,season,pfr_player_name
6,0.17142857142857146,0,0,0,198,0,0,0,0.17,42.8984375,0,0,0,no,0,0,0,0,21.25,4415.75,261.63,0,1,0,TE,-171.9324218749999,0,0,no_combine_cluster,other,0,0,0,0,0,0,0,0,00-0031533,2016,Randall Telfer
6,0.41250000000000003,0.17142857142857146,0.5,0.023188377614360874,198,3.0714285714285716,14.875,0,0.69,21.44921875,-0.33896508809162434,1,195.30078125,no,0.007430340557275543,0.021671826625386997,0.0010050689987648675,236.9375,15.9375,3923.8125,220.7025,1,2,0.11764705882352941,TE,-21.4040625000001,0,0,no_combine_cluster,no_history,0,0,0,0,0,0,0,0,00-0031533,2017,Randall Telfer
7,0,0,0,0,234,0,0,0,0.08,-82.41015625,0,0,38.3828125,no,0,0,0,0,24.4375,3825,250.75,1,2,0,WR,-250.43656249999992,32.725,0.05714285714285714,no_combine_cluster,6,0,0,0,0,0,0,0,0,00-0032070,2016,Dezmin Lewis
7,0.8000000000000002,0,0,0,256,0,0,0,0,-82.41015625,0,0,38.3828125,no,0,0,0,0,24.4375,3825,250.75,1,2,0,TE,-250.43656249999992,32.725,0.05714285714285714,no_combine_cluster,6,0,0,0,0,0,0,0,0,00-0032190,2016,Gerald Christian
7,8.049999999999999,0,0,0,229,0,0,0,0,57.57421875,0,0,73.37890625,no,0,0,0,0,28.6875,5738.5625,344.29249999999996,1,10,0,WR,56.783984375000145,64.28125,0.11,no_combine_cluster,8,0,0,0,0,0,0,0,0,00-0032365,2016,Demarcus Ayers
4,6.864285714285716,0,0,0,112,0,0,0,0.06,33.8671875,0,0,156.91796875,no,0,0,0,0,41.4375,5763,396.27000000000004,1,17,0,WR,-47.594687499999594,0,0,no_combine_cluster,other,0,0,0,0,0,0,0,0,00-0032400,2016,Malcolm Mitchell
7,0,0,0,0,230,0,0,0,0,-37.25390625,0,0,12.41796875,no,0,0,0,0,22.3125,4083.1875,252.5775,1,2,0,WR,-232.89335937500002,0,0,no_combine_cluster,other,0,0,0,0,0,0,0,0,00-0032801,2016,Daniel Braverman
5,0.325,0,0,0,154,0,0,0,1.15,42.8984375,0,0,0,no,0,0,0,0,21.25,4415.75,261.63,0,1,0,WR,-171.9324218749999,0,0,no_combine_cluster,other,0,0,0,0,0,0,0,0,00-0032974,2016,Jordan Payton
6,0.8500000000000001,0,0,0,209,0,0,0,0.56,55,0,0,26,no,0,0,0,0,21,3630,229.2,0,1,0,WR,30.20000000000016,23.5,0.049893842887473464,no_combine_cluster,1,0,0,0,0,0,0,0,0,00-0036858,2022,Jalen Camp
7,2.025,0,0,0,249,0,0,0,0.64,221.265625,0,0,49.671875,no,0,0,0,0,23.375,4824.8125,286.4925,1,5,0,WR,362.3789062500001,68.74375,0.10335463258785943,no_combine_cluster,5,0,0,0,0,0,0,0,0,00-0036862,2021,Ben Skowronek
