season,round,pick,team,gsis_id,cfb_player_id,pfr_player_name,position
2015,6,198,CLE,00-0031533,randall-telfer-1,Randall Telfer,TE
2015,7,234,BUF,00-0032070,NA,Dezmin Lewis,WR
2015,7,256,ARI,00-0032190,gerald-christian-1,Gerald Christian,TE
2016,7,229,PIT,00-0032365,demarcus-ayers-1,Demarcus Ayers,WR
2016,4,112,NWE,00-0032400,malcolm-mitchell-2,Malcolm Mitchell,WR
2016,7,230,CHI,00-0032801,daniel-braverman-1,Daniel Braverman,WR
2016,5,154,CLE,00-0032974,jordan-payton-1,Jordan Payton,WR
2021,6,209,JAX,00-0036858,jalen-camp-1,Jalen Camp,WR
2021,7,249,LAR,00-0036862,ben-skowronek-1,Ben Skowronek,WR
2022,5,149,WAS,00-0037078,cole-turner-2,Cole Turner,TE
2022,6,198,PHI,00-0037086,grant-calcaterra-1,Grant Calcaterra,TE
2022,7,233,SEA,00-0037093,NA,Dareke Young,WR
2022,7,258,GNB,00-0037098,samori-toure-1,Samori Toure,WR
2022,1,8,ATL,00-0037238,drake-london-1,Drake London,WR
2022,1,11,NOR,00-0037239,chris-olave-1,Chris Olave,WR
2022,1,12,DET,00-0037240,jameson-williams-1,Jameson Williams,WR
2022,2,52,PIT,00-0037247,george-pickens-1,George Pickens,WR
2022,3,80,DEN,00-0037252,greg-dulcich-1,Greg Dulcich,TE
2022,3,99,CLE,00-0037257,david-bell-6,David Bell,WR
2022,5,148,BUF,00-0037261,khalil-shakir-1,Khalil Shakir,WR
2022,5,162,DEN,00-0037272,NA,Montrell Washington,WR
2022,5,163,TEN,00-0037273,kyle-philips-4,Kyle Philips,WR
2022,5,170,HOU,00-0037277,teagan-quitoriano-1,Teagan Quitoriano,TE
2022,5,177,DET,00-0037282,james-mitchell-2,James Mitchell,TE
2022,6,191,MIN,00-0037291,jalen-nailor-1,Jalen Nailor,WR
2022,6,202,CLE,00-0037300,mike-woods-3,Michael Woods II,WR
2022,6,208,PIT,00-0037304,connor-heyward-1,Connor Heyward,TE
2022,6,218,TAM,00-0037311,ko-kieft-1,Ko Kieft,TE
2022,2,53,IND,00-0037664,alec-pierce-2,Alec Pierce,WR
2022,3,88,DAL,00-0037666,jalen-tolbert-1,Jalen Tolbert,WR
2022,1,10,NYJ,00-0037740,garrett-wilson-2,Garrett Wilson,WR
2022,1,16,WAS,00-0037741,jahan-dotson-1,Jahan Dotson,WR
2022,1,18,TEN,00-0037742,treylon-burks-1,Treylon Burks,WR
2022,2,55,ARI,00-0037744,trey-mcbride-1,Trey McBride,TE
2022,3,71,CHI,00-0037745,velus-jones-jr-1,Velus Jones Jr.,WR
2022,3,73,IND,00-0037755,jelani-woods-1,Jelani Woods,TE
2022,3,101,NYJ,00-0037805,jeremy-ruckert-1,Jeremy Ruckert,TE
2022,4,143,TEN,00-0037809,chigoziem-okonkwo-1,Chigoziem Okonkwo,TE
2022,4,132,GNB,00-0037816,romeo-doubs-1,Romeo Doubs,WR
2022,3,105,SFO,00-0037828,danny-gray-1,Danny Gray,WR
2022,4,139,BAL,00-0037838,isaiah-likely-1,Isaiah Likely,TE
2022,4,129,DAL,00-0038041,jake-ferguson-1,Jake Ferguson,TE
2022,4,128,BAL,00-0038046,charlie-kolar-1,Charlie Kolar,TE
2022,2,54,KAN,00-0038090,skyy-moore-1,Skyy Moore,WR
2022,4,125,MIA,00-0038092,erik-ezukanma-1,Erik Ezukanma,WR
2022,2,50,NWE,00-0038104,tyquan-thornton-1,Tyquan Thornton,WR
2022,4,112,NYG,00-0038115,daniel-bellinger-1,Daniel Bellinger,TE
2022,2,43,NYG,00-0038117,wandale-robinson-1,Wan'Dale Robinson,WR
2022,2,34,GNB,00-0038124,NA,Christian Watson,WR
2022,4,106,TAM,00-0038129,cade-otton-1,Cade Otton,TE
