player,gsis_id,espn_season_projected,espn_ppg_projected,position
Austin Hooper,00-0032392,88.3,5.9,TE
Blake Bell,00-0032062,45.5,3.0,TE
Brycen Hopkins,00-0036424,50.5,3.4,TE
C.J. Uzomah,00-0032134,48.7,3.2,TE
Cade Otton,00-0038129,101.4,6.8,TE
Chigoziem Okonkwo,00-0037809,117.4,7.8,TE
Cole Kmet,00-0036290,135.4,9.0,TE
Dallas Goedert,00-0034351,147.8,10.6,TE
Dalton Kincaid,00-0038933,121.3,8.1,TE
Dalton Schultz,00-0034383,134.1,8.9,TE
Daniel Bellinger,00-0038115,45.7,3.0,TE
Darren WallerQ,00-0031610,186.1,13.3,TE
David Njoku,00-0033885,139.2,9.9,TE
Dawson KnoxIR,00-0035689,101.7,6.8,TE
Donald Parham Jr.,00-0035329,58.2,3.9,TE
Durham SmytheQ,00-0034798,79.5,5.3,TE
Evan Engram,00-0033881,149.3,10.0,TE
George Kittle,00-0033288,166.1,11.9,TE
Gerald EverettO,00-0033895,121.5,8.1,TE
Greg DulcichIR,00-0037252,110.2,7.3,TE
Harrison Bryant,00-0036232,53.5,3.6,TE
Hayden Hurst,00-0034830,106.6,7.1,TE
Hunter Henry,00-0033090,96.9,6.5,TE
Irv Smith Jr.,00-0034970,107.6,7.2,TE
Isaiah Likely,00-0037838,59.8,4.0,TE
Jake Ferguson,00-0038041,101.9,6.8,TE
Jonnu Smith,00-0033858,59,3.9,TE
Juwan Johnson,00-0036040,119.5,8.0,TE
Ko Kieft,00-0037311,45.6,3.0,TE
Kyle Pitts,00-0036970,160.2,10.7,TE
Logan Thomas,00-0031260,96.9,6.9,TE
Luke Musgrave,00-0039144,92.7,6.2,TE
Mark Andrews,00-0034753,206.3,14.7,TE
Michael Mayer,00-0039066,87.5,5.8,TE
Mike Gesicki,00-0034829,108.7,7.2,TE
Noah Fant,00-0035644,101.9,6.8,TE
Noah Gray,00-0036637,72,4.8,TE
Pat FreiermuthIR,00-0036894,148.8,9.9,TE
Sam LaPorta,00-0039065,110.7,7.4,TE
T.J. Hockenson,00-0035229,192.5,12.8,TE
Teagan QuitorianoQ,00-0037277,48.7,3.2,TE
Travis Kelce,00-0030506,260.6,18.6,TE
Trey McBride,00-0037744,70.6,4.7,TE
Tucker Kraft,00-0038996,46.1,3.1,TE
Tyler Conklin,00-0034270,112.4,7.5,TE
Tyler Higbee,00-0033110,150.8,10.1,TE
Will Dissly,00-0034159,60.5,4.0,TE
Zach ErtzIR,00-0030061,120.9,9.3,TE
A.J. Brown,00-0035676,227.6,15.2,WR
Adam Thielen,00-0030035,134.7,10.4,WR
Alec Pierce,00-0037664,117.2,7.8,WR
Allen Lazard,00-0034521,150,10.0,WR
Allen Robinson II,00-0031428,93.3,6.7,WR
Amari Cooper,00-0031544,208.7,13.9,WR
Amon-Ra St. BrownQ,00-0036963,242.1,16.1,WR
Brandin Cooks,00-0031236,188.9,12.6,WR
Brandon Aiyuk,00-0036261,187.1,12.5,WR
Braxton Berrios,00-0034419,90.1,6.0,WR
Calvin Ridley,00-0034837,202.4,14.5,WR
CeeDee Lamb,00-0036358,263.9,17.6,WR
Chase Claypool,00-0036326,130.4,8.7,WR
Chris Godwin,00-0033921,201.8,14.4,WR
Chris Olave,00-0037239,221,14.7,WR
Christian Kirk,00-0034775,189.3,12.6,WR
Christian Watson,00-0038124,194.6,13.9,WR
Cooper Kupp,00-0033908,215,21.5,WR
Courtland Sutton,00-0034348,186.8,12.5,WR
Curtis SamuelQ,00-0033282,137.3,9.2,WR
Darius Slayton,00-0035535,100.7,6.7,WR
Darnell Mooney,00-0036309,156.1,10.4,WR
Davante Adams,00-0031381,287.1,19.1,WR
DeAndre Hopkins,00-0030564,202.4,13.5,WR
Deebo SamuelO,00-0035719,211.1,15.1,WR
Demario Douglas,00-0038621,83.9,5.6,WR
DeVante ParkerQ,00-0031547,119.4,8.5,WR
DeVonta Smith,00-0036912,219,14.6,WR
Diontae Johnson,00-0035216,204.9,13.7,WR
DJ Chark Jr.,00-0034777,141.2,10.9,WR
DJ Moore,00-0034827,202.4,13.5,WR
DK Metcalf,00-0035640,228.6,15.2,WR
Donovan Peoples-Jones,00-0036233,108.6,7.2,WR
Drake LondonQ,00-0037238,193,12.9,WR
Elijah Moore,00-0036980,141.7,9.4,WR
Gabe Davis,00-0036196,162.2,10.8,WR
Garrett Wilson,00-0037740,250.1,16.7,WR
George Pickens,00-0037247,180.8,12.1,WR
Hunter Renfrow,00-0034983,140.2,9.3,WR
Isaiah Hodgins,00-0036165,103.8,6.9,WR
