"","year","coach","team","games_this_year","total_games_coached"
"1",2012,"Joe Vitt","NOR","10","10"
"2",2014,"Bill O'Brien","HOU","16","100"
"3",2015,"Bill O'Brien","HOU","16","100"
"4",2016,"Bill O'Brien","HOU","16","100"
"5",2017,"Bill O'Brien","HOU","16","100"
"6",2018,"Bill O'Brien","HOU","16","100"
"7",2019,"Bill O'Brien","HOU","16","100"
"8",2020,"Bill O'Brien","HOU","4","100"
"9",2017,"Sean McDermott","BUF","16","106"
"10",2018,"Sean McDermott","BUF","16","106"
"11",2019,"Sean McDermott","BUF","16","106"
"12",2020,"Sean McDermott","BUF","16","106"
"13",2021,"Sean McDermott","BUF","17","106"
"14",2017,"Kyle Shanahan","SFO","16","106"
"15",2018,"Kyle Shanahan","SFO","16","106"
"16",2019,"Kyle Shanahan","SFO","16","106"
"17",2020,"Kyle Shanahan","SFO","16","106"
"18",2021,"Kyle Shanahan","SFO","17","106"
"19",2017,"Sean McVay","LAR","16","107"
"20",2018,"Sean McVay","LAR","16","107"
"21",2019,"Sean McVay","LAR","16","107"
"22",2020,"Sean McVay","LAR","16","107"
"23",2021,"Sean McVay","LAR","17","107"
"24",2008,"Mike Smith","ATL","16","112"
"25",2009,"Mike Smith","ATL","16","112"
"26",2010,"Mike Smith","ATL","16","112"
"27",2011,"Mike Smith","ATL","16","112"
"28",2012,"Mike Smith","ATL","16","112"
"29",2013,"Mike Smith","ATL","16","112"
"30",2014,"Mike Smith","ATL","16","112"
"31",2008,"Tony Dungy","IND","16","112"
"32",2008,"Jon Gruden","TAM","16","112"
"33",2020,"Jon Gruden","LVR","16","117"
"34",2021,"Jon Gruden","LVR","5","117"
"35",2018,"Jon Gruden","OAK","16","117"
"36",2019,"Jon Gruden","OAK","16","117"
"37",2008,"Gary Kubiak","HOU","16","125"
"38",2009,"Gary Kubiak","HOU","16","125"
"39",2010,"Gary Kubiak","HOU","16","125"
"40",2011,"Gary Kubiak","HOU","16","125"
"41",2012,"Gary Kubiak","HOU","16","125"
"42",2013,"Gary Kubiak","HOU","13","125"
"43",2014,"Mike Zimmer","MIN","16","129"
"44",2015,"Mike Zimmer","MIN","16","129"
"45",2016,"Mike Zimmer","MIN","16","129"
"46",2017,"Mike Zimmer","MIN","16","129"
"47",2018,"Mike Zimmer","MIN","16","129"
"48",2019,"Mike Zimmer","MIN","16","129"
"49",2020,"Mike Zimmer","MIN","16","129"
"50",2021,"Mike Zimmer","MIN","17","129"
"51",2021,"Urban Meyer","JAX","13","13"
"52",2008,"Jack Del Rio","JAX","16","139"
"53",2009,"Jack Del Rio","JAX","16","139"
"54",2010,"Jack Del Rio","JAX","16","139"
"55",2011,"Jack Del Rio","JAX","11","139"
"56",2011,"Ron Rivera","CAR","16","140"
"57",2012,"Ron Rivera","CAR","16","140"
"58",2013,"Ron Rivera","CAR","16","140"
"59",2014,"Ron Rivera","CAR","16","140"
"60",2015,"Ron Rivera","CAR","16","140"
"61",2016,"Ron Rivera","CAR","16","140"
"62",2017,"Ron Rivera","CAR","16","140"
"63",2018,"Ron Rivera","CAR","16","140"
"64",2019,"Ron Rivera","CAR","12","140"
"65",2008,"John Fox","CAR","16","144"
"66",2009,"John Fox","CAR","16","144"
"67",2010,"John Fox","CAR","16","144"
"68",2008,"Lovie Smith","CHI","16","144"
"69",2009,"Lovie Smith","CHI","16","144"
"70",2010,"Lovie Smith","CHI","16","144"
"71",2011,"Lovie Smith","CHI","16","144"
"72",2012,"Lovie Smith","CHI","16","144"
"73",2010,"Jason Garrett","DAL","8","152"
"74",2011,"Jason Garrett","DAL","16","152"
"75",2012,"Jason Garrett","DAL","16","152"
"76",2013,"Jason Garrett","DAL","16","152"
"77",2014,"Jason Garrett","DAL","16","152"
"78",2015,"Jason Garrett","DAL","16","152"
"79",2016,"Jason Garrett","DAL","16","152"
"80",2017,"Jason Garrett","DAL","16","152"
"81",2018,"Jason Garrett","DAL","16","152"
"82",2019,"Jason Garrett","DAL","16","152"
"83",2018,"Steve Wilks","ARI","16","16"
"84",2013,"Rob Chudzinski","CLE","16","16"
"85",2019,"Freddie Kitchens","CLE","16","16"
"86",2012,"Mike Mularkey","JAX","16","16"
"87",2011,"Hue Jackson","OAK","16","16"
"88",2009,"Jim Mora","SEA","16","16"
"89",2016,"Chip Kelly","SFO","16","16"
"90",2008,"Mike Holmgren","SEA","16","160"
"91",2021,"David Culley","HOU","17","17"
"92",2015,"Jim Tomsula","SFO","16","17"
"93",2013,"Andy Reid","KAN","16","171"
"94",2014,"Andy Reid","KAN","16","171"
