"","year","coach","team","games_this_year","total_games_coached"
"1",2023,"Jonathan Gannon","ARI","10","10"
"2",2023,"Shane Steichen","IND","10","10"
"3",2012,"Joe Vitt","NOR","10","10"
"4",2014,"Bill O'Brien","HOU","16","100"
"5",2015,"Bill O'Brien","HOU","16","100"
"6",2016,"Bill O'Brien","HOU","16","100"
"7",2017,"Bill O'Brien","HOU","16","100"
"8",2018,"Bill O'Brien","HOU","16","100"
"9",2019,"Bill O'Brien","HOU","16","100"
"10",2020,"Bill O'Brien","HOU","4","100"
"11",2017,"Sean McDermott","BUF","16","106"
"12",2018,"Sean McDermott","BUF","16","106"
"13",2019,"Sean McDermott","BUF","16","106"
"14",2020,"Sean McDermott","BUF","16","106"
"15",2021,"Sean McDermott","BUF","17","106"
"16",2022,"Sean McDermott","BUF","16","106"
"17",2023,"Sean McDermott","BUF","9","106"
"18",2017,"Kyle Shanahan","SFO","16","106"
"19",2018,"Kyle Shanahan","SFO","16","106"
"20",2019,"Kyle Shanahan","SFO","16","106"
"21",2020,"Kyle Shanahan","SFO","16","106"
"22",2021,"Kyle Shanahan","SFO","17","106"
"23",2022,"Kyle Shanahan","SFO","17","106"
"24",2017,"Sean McVay","LAR","16","107"
"25",2018,"Sean McVay","LAR","16","107"
"26",2019,"Sean McVay","LAR","16","107"
"27",2020,"Sean McVay","LAR","16","107"
"28",2021,"Sean McVay","LAR","17","107"
"29",2022,"Sean McVay","LAR","17","107"
"30",2023,"Sean McVay","LAR","9","107"
"31",2023,"Kyle Shanahan","SFO","9","107"
"32",2006,"Art Shell","OAK","16","108"
"33",2000,"Dan Reeves","ATL","16","109"
"34",2001,"Dan Reeves","ATL","16","109"
"35",2002,"Dan Reeves","ATL","16","109"
"36",2003,"Dan Reeves","ATL","13","109"
"37",2000,"Norv Turner","WAS","13","109"
"38",2008,"Mike Smith","ATL","16","112"
"39",2009,"Mike Smith","ATL","16","112"
"40",2010,"Mike Smith","ATL","16","112"
"41",2011,"Mike Smith","ATL","16","112"
"42",2012,"Mike Smith","ATL","16","112"
"43",2013,"Mike Smith","ATL","16","112"
"44",2014,"Mike Smith","ATL","16","112"
"45",2002,"Tony Dungy","IND","16","112"
"46",2003,"Tony Dungy","IND","16","112"
"47",2004,"Tony Dungy","IND","16","112"
"48",2005,"Tony Dungy","IND","16","112"
"49",2006,"Tony Dungy","IND","16","112"
"50",2007,"Tony Dungy","IND","16","112"
"51",2008,"Tony Dungy","IND","16","112"
"52",2000,"Jim Fassel","NYG","16","112"
"53",2001,"Jim Fassel","NYG","16","112"
"54",2002,"Jim Fassel","NYG","16","112"
"55",2003,"Jim Fassel","NYG","16","112"
"56",2002,"Jon Gruden","TAM","16","112"
"57",2003,"Jon Gruden","TAM","16","112"
"58",2004,"Jon Gruden","TAM","16","112"
"59",2005,"Jon Gruden","TAM","16","112"
"60",2006,"Jon Gruden","TAM","16","112"
"61",2007,"Jon Gruden","TAM","16","112"
"62",2008,"Jon Gruden","TAM","16","112"
"63",2020,"Jon Gruden","LVR","16","117"
"64",2021,"Jon Gruden","LVR","5","117"
"65",2000,"Jon Gruden","OAK","16","117"
"66",2001,"Jon Gruden","OAK","16","117"
"67",2018,"Jon Gruden","OAK","16","117"
"68",2019,"Jon Gruden","OAK","16","117"
"69",2006,"Gary Kubiak","HOU","16","125"
"70",2007,"Gary Kubiak","HOU","16","125"
"71",2008,"Gary Kubiak","HOU","16","125"
"72",2009,"Gary Kubiak","HOU","16","125"
"73",2010,"Gary Kubiak","HOU","16","125"
"74",2011,"Gary Kubiak","HOU","16","125"
"75",2012,"Gary Kubiak","HOU","16","125"
"76",2013,"Gary Kubiak","HOU","13","125"
"77",2000,"Tom Coughlin","JAX","16","128"
"78",2001,"Tom Coughlin","JAX","16","128"
"79",2002,"Tom Coughlin","JAX","16","128"
"80",2014,"Mike Zimmer","MIN","16","129"
"81",2015,"Mike Zimmer","MIN","16","129"
"82",2016,"Mike Zimmer","MIN","16","129"
"83",2017,"Mike Zimmer","MIN","16","129"
"84",2018,"Mike Zimmer","MIN","16","129"
"85",2019,"Mike Zimmer","MIN","16","129"
"86",2020,"Mike Zimmer","MIN","16","129"
"87",2021,"Mike Zimmer","MIN","17","129"
"88",2007,"Bobby Petrino","ATL","13","13"
"89",2021,"Urban Meyer","JAX","13","13"
"90",2003,"Jack Del Rio","JAX","16","139"
"91",2004,"Jack Del Rio","JAX","16","139"
"92",2005,"Jack Del Rio","JAX","16","139"
"93",2006,"Jack Del Rio","JAX","16","139"
"94",2007,"Jack Del Rio","JAX","16","139"
"95",2008,"Jack Del Rio","JAX","16","139"
"96",2009,"Jack Del Rio","JAX","16","139"
"97",2010,"Jack Del Rio","JAX","16","139"
