display_name,player_id,rookie_year,estimated_pfr_id
Desmond Clark,00-0003035,NA,ClarDe00
Brian Finneran,00-0005231,NA,FinnBr00
Joey Galloway,00-0005720,NA,GallJo00
Reggie Kelly,00-0009119,NA,KellRe00
Jimmy Kleinsasser,00-0009323,NA,KleiJi00
Derrick Mason,00-0010500,NA,MasoDe00
Terrell Owens,00-0012478,NA,OwenTe00
Mike Sellers,00-0014655,NA,SellMi00
Hines Ward,00-0017162,NA,WardHi00
Anthony Becht,00-0019457,NA,BechAn00
Alge Crumpler,00-0020285,NA,CrumAl00
David Martin,00-0020332,NA,MartDa00
Brandon Manumaleuna,00-0020342,NA,ManuBr00
T.J. Houshmandzadeh,00-0020438,NA,HousTJ00
Chris Chambers,00-0020446,NA,ChamCh00
Donte' Stallworth,00-0021147,NA,StalDo00
Jeremy Shockey,00-0021148,NA,ShocJe00
Daniel Graham,00-0021154,NA,GrahDa00
Jerramy Stevens,00-0021159,NA,StevJe00
Chris Baker,00-0021213,NA,BakeCh00
Justin Peelle,00-0021227,NA,PeelJu00
Robert Royal,00-0021273,NA,RoyaRo00
John Gilmore,00-0021304,NA,GilmJo00
Greg Lewis,00-0021508,NA,LewiGr00
Antonio Gates,00-0021547,2003,GateAn00
Kassim Osgood,00-0021570,NA,OsgoKa00
Jerheme Urban,00-0021647,NA,UrbaJe00
Will Heller,00-0021756,NA,HellWi00
Sam Aiken,00-0021915,NA,AikeSa00
Donald Lee,00-0021929,NA,LeeDo00
Justin Gage,00-0021982,NA,GageJu00
Kevin Curtis,00-0022001,NA,CurtKe00
Arnaz Battle,00-0022064,NA,BattAr00
Bryant Johnson,00-0022156,NA,JohnBr00
Kelley Washington,00-0022171,NA,WashKe00
Terrance Copper,00-0022388,NA,CoppTe00
Malcom Floyd,00-0022414,NA,FloyMa00
Ruvell Martin,00-0022421,NA,MartRu00
Wes Welker,00-0022427,NA,WelkWe00
Kris Wilson,00-0022714,NA,WilsKr00
Michael Clayton,00-0022725,NA,ClayMi00
Keary Colbert,00-0022726,NA,ColbKe00
Jeff Dugan,00-0022746,NA,DugaJe00
Patrick Crayton,00-0022766,NA,CrayPa00
Bernard Berrian,00-0022807,NA,BerrBe00
Ben Hartsock,00-0022847,NA,HartBe00
Ernest Wilford,00-0022901,NA,WilfEr00
Roy Williams,00-0022909,NA,WillRo04
Lee Evans,00-0022910,NA,EvanLe00
Stephen Spach,00-0023108,NA,SpacSt00
Josh Cribbs,00-0023176,NA,CribJo00
Tory Humphrey,00-0023210,NA,HumpTo00
Lance Moore,00-0023310,NA,MoorLa00
Nate Washington,00-0023367,NA,WashNa00
Greg Camarillo,00-0023408,NA,CamaGr00
Rashied Davis,00-0023429,NA,DaviRa00
Mike Williams,00-0023452,NA,WillMi03
Mark Clayton,00-0023457,NA,ClayMa00
Roscoe Parrish,00-0023490,NA,ParrRo00
Courtney Roby,00-0023503,NA,RobyCo00
Alex Smith,00-0023506,NA,SmitAl00
Roydell Williams,00-0023570,NA,WillRo05
Bo Scaife,00-0023612,NA,ScaiBo00
Billy Bajema,00-0023679,NA,BajeBi00
Daniel Fells,00-0023752,NA,FellDa00
Brian Clark,00-0023790,NA,ClarBr00
Darcy Johnson,00-0023797,NA,JohnDa03
Miles Austin,00-0023921,2006,AustMi00
Sam Hurd,00-0023953,NA,HurdSa00
Micheal Spurlock,00-0023968,NA,SpurMi00
Hank Baskett,00-0024013,NA,BaskHa00
Leonard Pope,00-0024287,NA,PopeLe00
Derek Hagan,00-0024297,NA,HagaDe00
David Thomas,00-0024301,NA,ThomDa00
Maurice Stovall,00-0024305,NA,StovMa00
Garrett Mills,00-0024321,NA,MillGa00
Demetrius Williams,00-0024326,NA,WillDe03
David Anderson,00-0024465,NA,AndeDa00
Gijon Robinson,00-0024529,NA,RobiGi00
